category,year,keyword_speeches,total_speeches,normalised_share
defense,2004,2,4,0.5
defense,2005,6,7,0.8571428571428571
defense,2006,0,3,0.0
defense,2007,1,1,1.0
defense,2008,4,8,0.5
defense,2009,4,6,0.6666666666666666
defense,2010,8,12,0.6666666666666666
defense,2011,19,22,0.8636363636363636
defense,2012,15,20,0.75
defense,2013,7,8,0.875
defense,2014,18,42,0.42857142857142855
defense,2015,22,39,0.5641025641025641
defense,2016,21,72,0.2916666666666667
defense,2017,14,38,0.3684210526315789
defense,2018,13,22,0.5909090909090909
defense,2019,28,37,0.7567567567567568
defense,2020,11,65,0.16923076923076924
defense,2021,61,157,0.3885350318471338
economy,2004,1,4,0.25
economy,2005,3,7,0.42857142857142855
economy,2006,1,3,0.3333333333333333
economy,2007,1,1,1.0
economy,2008,6,8,0.75
economy,2009,4,6,0.6666666666666666
economy,2010,4,12,0.3333333333333333
economy,2011,12,22,0.5454545454545454
economy,2012,9,20,0.45
economy,2013,7,8,0.875
economy,2014,16,42,0.38095238095238093
economy,2015,21,39,0.5384615384615384
economy,2016,13,72,0.18055555555555555
economy,2017,12,38,0.3157894736842105
economy,2018,11,22,0.5
economy,2019,12,37,0.32432432432432434
economy,2020,7,65,0.1076923076923077
economy,2021,12,157,0.07643312101910828
immigration,2004,0,4,0.0
immigration,2005,0,7,0.0
immigration,2006,0,3,0.0
immigration,2007,1,1,1.0
immigration,2008,3,8,0.375
immigration,2009,2,6,0.3333333333333333
immigration,2010,1,12,0.08333333333333333
immigration,2011,4,22,0.18181818181818182
immigration,2012,3,20,0.15
immigration,2013,3,8,0.375
immigration,2014,13,42,0.30952380952380953
immigration,2015,11,39,0.28205128205128205
immigration,2016,7,72,0.09722222222222222
immigration,2017,7,38,0.18421052631578946
immigration,2018,0,22,0.0
immigration,2019,2,37,0.05405405405405406
immigration,2020,3,65,0.046153846153846156
immigration,2021,37,157,0.2356687898089172
nuclear,2004,2,4,0.5
nuclear,2005,3,7,0.42857142857142855
nuclear,2006,1,3,0.3333333333333333
nuclear,2007,1,1,1.0
nuclear,2008,5,8,0.625
nuclear,2009,4,6,0.6666666666666666
nuclear,2010,8,12,0.6666666666666666
nuclear,2011,17,22,0.7727272727272727
nuclear,2012,14,20,0.7
nuclear,2013,7,8,0.875
nuclear,2014,17,42,0.40476190476190477
nuclear,2015,24,39,0.6153846153846154
nuclear,2016,18,72,0.25
nuclear,2017,14,38,0.3684210526315789
nuclear,2018,10,22,0.45454545454545453
nuclear,2019,9,37,0.24324324324324326
nuclear,2020,8,65,0.12307692307692308
nuclear,2021,80,157,0.5095541401273885
