year,date,speaker,text
1946.0,1/21/46,Harry S. Truman,To the Congress of the United States: A quarter century ago the Congress decided that it could no longer consider the financial programs of the various departments on a piecemeal basis.
1946.0,1/21/46,Harry S. Truman,Instead it has called on the President to present a comprehensive Executive Budget.
1946.0,1/21/46,Harry S. Truman,The Congress has shown its satisfaction with that method by extending the budget system and tightening its controls.
1946.0,1/21/46,Harry S. Truman,"The bigger and more complex the Federal Program, the more necessary it is for the Chief Executive to submit a single budget for action by the Congress."
1946.0,1/21/46,Harry S. Truman,"At the same time, it is clear that the budgetary program and the general program of the Government are actually inseparable."
1946.0,1/21/46,Harry S. Truman,The President bears the responsibility for recommending to the Congress a comprehensive set of proposals on all Government activities and their financing.
1946.0,1/21/46,Harry S. Truman,"In formulating policies, as in preparing budgetary estimates, the Nation and the Congress have the right to expect the President to adjust and coordinate the views of the various departments and agencies to form a unified program."
1946.0,1/21/46,Harry S. Truman,"And that program requires consideration in connection with the Budget, which is the annual work program of the Government."
1946.0,1/21/46,Harry S. Truman,Since our programs for this period which combines war liquidation with reconversion to a peacetime economy are inevitably large and numerous it is imperative that they be planned and executed with the utmost efficiency and the utmost economy.
1946.0,1/21/46,Harry S. Truman,We have cut the war program to the maximum extent consistent with national security.
1946.0,1/21/46,Harry S. Truman,We have held our peacetime programs to the level necessary to our national well-being and the attainment of our postwar objectives.
1946.0,1/21/46,Harry S. Truman,"Where increased programs have been recommended, the increases have been held as low as is consistent with these goals."
1946.0,1/21/46,Harry S. Truman,I can assure the Congress of the necessity of these programs.
1946.0,1/21/46,Harry S. Truman,I can further assure the Congress that the program as a whole is well within our capacity to finance it.
1946.0,1/21/46,Harry S. Truman,All the programs I have recommended for action are included in the Budget figures.
1946.0,1/21/46,Harry S. Truman,"For these reasons I have chosen to combine the customary Message on the State of the Union with the annual Budget Message, and to include in the Budget not only estimates for functions authorized by the Congress, but also for those which I recommend for its action."
1946.0,1/21/46,Harry S. Truman,I am also transmitting herewith the Fifth Quarterly Report of the Director of War Mobilization and Reconversion.
1946.0,1/21/46,Harry S. Truman,It is a comprehensive discussion of the present state of the reconversion program and of the immediate and long-range needs and recommendations.
1946.0,1/21/46,Harry S. Truman,"This constitutes, then, as complete a report as I find it possible to prepare now."
1946.0,1/21/46,Harry S. Truman,It constitutes a program of government in relation to the Nation's needs.
1946.0,1/21/46,Harry S. Truman,"With the growing responsibility of modern government to foster economic expansion and to promote conditions that assure full and steady employment opportunities, it has become necessary to formulate and determine the Government program in the light of national economic conditions as a whole."
1946.0,1/21/46,Harry S. Truman,In both the executive and the legislative branches we must make arrangements which will permit us to formulate the Government program in that light.
