category,year,keyword_speeches,total_speeches,normalised_share
defense,1946,0,0,0.0
defense,1947,0,0,0.0
defense,1948,0,0,0.0
defense,1949,0,0,0.0
defense,1950,0,0,0.0
defense,1951,0,0,0.0
defense,1952,0,0,0.0
defense,1953,0,0,0.0
defense,1954,0,0,0.0
defense,1955,0,0,0.0
defense,1956,0,0,0.0
defense,1957,0,0,0.0
defense,1958,0,0,0.0
defense,1959,0,0,0.0
defense,1960,0,0,0.0
defense,1961,0,0,0.0
defense,1962,0,0,0.0
defense,1963,0,0,0.0
defense,1964,0,0,0.0
defense,1965,0,0,0.0
defense,1966,0,0,0.0
defense,1967,0,0,0.0
defense,1968,0,0,0.0
defense,1969,0,0,0.0
defense,1970,0,0,0.0
defense,1971,0,0,0.0
defense,1972,0,0,0.0
defense,1973,0,0,0.0
defense,1974,0,0,0.0
defense,1975,0,0,0.0
defense,1976,0,0,0.0
defense,1977,0,0,0.0
defense,1978,0,0,0.0
defense,1979,0,0,0.0
defense,1980,0,0,0.0
defense,1981,0,0,0.0
defense,1982,0,0,0.0
defense,1983,0,0,0.0
defense,1984,0,0,0.0
defense,1985,0,0,0.0
defense,1986,0,0,0.0
defense,1987,0,0,0.0
defense,1988,0,0,0.0
defense,1989,0,0,0.0
defense,1990,0,0,0.0
defense,1991,0,0,0.0
defense,1992,0,0,0.0
defense,1993,0,0,0.0
defense,1994,0,0,0.0
defense,1995,0,0,0.0
defense,1996,0,0,0.0
defense,1997,0,0,0.0
defense,1998,0,0,0.0
defense,1999,0,0,0.0
defense,2000,0,0,0.0
defense,2001,0,0,0.0
defense,2002,0,0,0.0
defense,2003,0,0,0.0
defense,2004,14,282,0.04964539007092199
defense,2005,9,239,0.03765690376569038
defense,2006,11,287,0.03832752613240418
defense,2007,15,288,0.052083333333333336
defense,2008,18,314,0.05732484076433121
defense,2009,4,304,0.013157894736842105
defense,2010,11,424,0.025943396226415096
defense,2011,18,398,0.04522613065326633
defense,2012,19,418,0.045454545454545456
defense,2013,19,370,0.051351351351351354
defense,2014,21,364,0.057692307692307696
defense,2015,15,399,0.03759398496240601
economy,1946,0,0,0.0
economy,1947,0,0,0.0
economy,1948,0,0,0.0
economy,1949,0,0,0.0
economy,1950,0,0,0.0
economy,1951,0,0,0.0
economy,1952,0,0,0.0
economy,1953,0,0,0.0
economy,1954,0,0,0.0
economy,1955,0,0,0.0
economy,1956,0,0,0.0
economy,1957,0,0,0.0
economy,1958,0,0,0.0
economy,1959,0,0,0.0
economy,1960,0,0,0.0
economy,1961,0,0,0.0
economy,1962,0,0,0.0
economy,1963,0,0,0.0
economy,1964,0,0,0.0
economy,1965,0,0,0.0
economy,1966,0,0,0.0
economy,1967,0,0,0.0
economy,1968,0,0,0.0
economy,1969,0,0,0.0
economy,1970,0,0,0.0
economy,1971,0,0,0.0
economy,1972,0,0,0.0
economy,1973,0,0,0.0
economy,1974,0,0,0.0
economy,1975,0,0,0.0
economy,1976,0,0,0.0
economy,1977,0,0,0.0
economy,1978,0,0,0.0
economy,1979,0,0,0.0
economy,1980,0,0,0.0
economy,1981,0,0,0.0
economy,1982,0,0,0.0
economy,1983,0,0,0.0
economy,1984,0,0,0.0
economy,1985,0,0,0.0
economy,1986,0,0,0.0
economy,1987,0,0,0.0
economy,1988,0,0,0.0
economy,1989,0,0,0.0
economy,1990,0,0,0.0
economy,1991,0,0,0.0
economy,1992,0,0,0.0
economy,1993,0,0,0.0
economy,1994,0,0,0.0
economy,1995,0,0,0.0
economy,1996,0,0,0.0
economy,1997,0,0,0.0
economy,1998,0,0,0.0
economy,1999,0,0,0.0
economy,2000,0,0,0.0
economy,2001,0,0,0.0
economy,2002,0,0,0.0
economy,2003,0,0,0.0
economy,2004,35,282,0.12411347517730496
economy,2005,25,239,0.10460251046025104
economy,2006,39,287,0.13588850174216027
economy,2007,28,288,0.09722222222222222
economy,2008,34,314,0.10828025477707007
economy,2009,72,304,0.23684210526315788
economy,2010,74,424,0.17452830188679244
economy,2011,60,398,0.1507537688442211
economy,2012,79,418,0.18899521531100477
economy,2013,59,370,0.15945945945945947
economy,2014,49,364,0.1346153846153846
economy,2015,42,399,0.10526315789473684
immigration,1946,0,0,0.0
immigration,1947,0,0,0.0
immigration,1948,0,0,0.0
immigration,1949,0,0,0.0
immigration,1950,0,0,0.0
immigration,1951,0,0,0.0
immigration,1952,0,0,0.0
immigration,1953,0,0,0.0
immigration,1954,0,0,0.0
immigration,1955,0,0,0.0
immigration,1956,0,0,0.0
immigration,1957,0,0,0.0
immigration,1958,0,0,0.0
immigration,1959,0,0,0.0
immigration,1960,0,0,0.0
immigration,1961,0,0,0.0
immigration,1962,0,0,0.0
immigration,1963,0,0,0.0
immigration,1964,0,0,0.0
immigration,1965,0,0,0.0
immigration,1966,0,0,0.0
immigration,1967,0,0,0.0
immigration,1968,0,0,0.0
immigration,1969,0,0,0.0
immigration,1970,0,0,0.0
immigration,1971,0,0,0.0
immigration,1972,0,0,0.0
immigration,1973,0,0,0.0
immigration,1974,0,0,0.0
immigration,1975,0,0,0.0
immigration,1976,0,0,0.0
immigration,1977,0,0,0.0
immigration,1978,0,0,0.0
immigration,1979,0,0,0.0
immigration,1980,0,0,0.0
immigration,1981,0,0,0.0
immigration,1982,0,0,0.0
immigration,1983,0,0,0.0
immigration,1984,0,0,0.0
immigration,1985,0,0,0.0
immigration,1986,0,0,0.0
